"routeno","route_name","route_address","Starting","Destination","TotalStops","TravelTime","Distance","FirstBusFromStartingPoint","LastBusFromStartingPoint","FirstBusFromFromDestination","LastBusFromDestination"
"336","J V P D Bus Station to Vidya Vihar Bus Station West Route Map","https://www.mumbai77.com/bus-routes/bus-no-336","J V P D Bus Station","Vidya Vihar Bus Station West","30","1 Hour 4 Minutes","10.7","06:15","22:35","06:10","21:20"
"337","Agarkar Chowk to Chh Shivaji Int AirportSahar Route Map","https://www.mumbai77.com/bus-routes/bus-no-337","Agarkar Chowk","Chh Shivaji Int AirportSahar","12","33 Minutes","4.4","06:00","23:30","06:25","23:55"
"338","Agarkar Chowk to Sahar Cargo Complex Route Map","https://www.mumbai77.com/bus-routes/bus-no-338","Agarkar Chowk","Sahar Cargo Complex","8","29 Minutes","3.2","06:25","23:25","06:10","23:40"
"339","Juhu Bus Station to Majas Depot Shyam Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-339","Juhu Bus Station","Majas Depot Shyam Nagar","44","1 Hour 9 Minutes","14.5","07:00","21:40","06:15","20:20"
"340","Ghatkopar Station West to Agarkar Chowk Route Map","https://www.mumbai77.com/bus-routes/bus-no-340","Ghatkopar Station West","Agarkar Chowk","22","35 Minutes","8.8","05:00","01:35","04:30","01:15"
"341","Antop Hill to Goregaon Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-341","Antop Hill","Goregaon Station East","45","59 Minutes","22.4","05:50","22:40","06:00","23:10"
"342","Goregaon Station East to Kokan Vikas Mandal Route Map","https://www.mumbai77.com/bus-routes/bus-no-342","Goregaon Station East","Kokan Vikas Mandal","14","18 Minutes","7.2","07:00","22:35","06:30","23:00"
"343","Goregaon Station East to Dadasaheb Phalke Chitra Nagari Route Map","https://www.mumbai77.com/bus-routes/bus-no-343","Goregaon Station East","Dadasaheb Phalke Chitra Nagari","16","16 Minutes","6.4","05:47","02:00","05:30","01:40"
"344","Goregaon Station East Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-344","Goregaon Station East","Goregaon Station East","25","21 Minutes","9.3","05:15","23:35","Goregaon Station Eas","Peru Bau"
"345","Santosh Nagar Extension to Gorai Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-345","Santosh Nagar Extension","Gorai Depot","38","1 Hour 2 Minutes","14.4","07:09","22:35","06:15","21:31"
"346","Goregaon Station East to Shiv Shai Prakalp Mantri Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-346","Goregaon Station East","Shiv Shai Prakalp Mantri Park","16","21 Minutes","5.5","18:06","21:58","18:34","22:20"
"347","Goregaon Station East Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-347","Goregaon Station East","Goregaon Station East","28","18 Minutes","7.7","06:20","22:17","Goregaon Station Eas","Peru Bau"
"348-ltd","Chunabhatti to Dahisar Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-348-ltd","Chunabhatti","Dahisar Bus Station","56","1 Hour 49 Minutes","33.2","03:50","17:46","09:10","01:00"
"348-bus2","Anik Depot to Dahisar Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-348-bus2","Anik Depot","Dahisar Bus Station","56","1 Hour 41 Minutes","33.2","03:50","17:46","09:10","01:00"
"349","Kurla Station West to Santosh Nagar Extension Route Map","https://www.mumbai77.com/bus-routes/bus-no-349","Kurla Station West","Santosh Nagar Extension","58","1 Hour 21 Minutes","21.8","04:30","20:05","05:40","21:45"
"35","Com P K Kurne Chowk to Marol Maroshi Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-35","Com P K Kurne Chowk","Marol Maroshi Bus Station","47","1 Hour 32 Minutes","22.6","05:50","21:00","07:00","19:00"
"350","Kurla Bus Station East to Shivaji Nagar Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-350","Kurla Bus Station East","Shivaji Nagar Depot","15","26 Minutes","6.6","05:40","23:54","06:00","23:24"
"351","Mumbai Central Depot to Tata Power Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-351","Mumbai Central Depot","Tata Power Station","49","1 Hour 19 Minutes","23.5","07:20","22:30","06:10","20:45"
"352","Trombay to Rani Laxmibai Chowk Sion Route Map","https://www.mumbai77.com/bus-routes/bus-no-352","Trombay","Rani Laxmibai Chowk Sion","25","44 Minutes","10.1","05:00","00:55","05:10","00:15"
"353","Wadala Depot to Tagore Nagar No 5 Route Map","https://www.mumbai77.com/bus-routes/bus-no-353","Wadala Depot","Tagore Nagar No 5","37","48 Minutes","19.7","07:00","19:35","08:00","20:45"
"354","Ram Ganesh Gadkari Chowk Shivaji Park to Kannamwar Nagar 2 Route Map","https://www.mumbai77.com/bus-routes/bus-no-354","Ram Ganesh Gadkari Chowk Shivaji Park","Kannamwar Nagar 2","31","1 Hour 3 Minutes","19","09:04","00:00","08:06","23:15"
"355-ltd","Trombay to Vesave Yari Road Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-355-ltd","Trombay","Vesave Yari Road Bus Station","58","1 Hour 58 Minutes","29.1","06:25","20:07","07:55","22:10"
"356-ltd","Tata Power Station to Santacruz Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-356-ltd","Tata Power Station","Santacruz Depot","33","1 Hour 20 Minutes","17.7","08:05","23:05","07:00","21:30"
"357","Mumbai Central Depot to Shivaji Nagar Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-357","Mumbai Central Depot","Shivaji Nagar Depot","57","1 Hour 8 Minutes","26.4","05:10","21:50","06:20","19:58"
"358","Kurla Bus Station East to Shivaji Nagar Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-358","Kurla Bus Station East","Shivaji Nagar Depot","12","42 Minutes","6.4","08:00","23:00","08:25","22:48"
"359-ltd","Hiranandani Powai Bus Station to Malvani Depot Gaikwad Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-359-ltd","Hiranandani Powai Bus Station","Malvani Depot Gaikwad Nagar","49","1 Hour 37 Minutes","21.8","07:15","18:37","08:50","21:05"
"360","Trombay to Kurla Bus Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-360","Trombay","Kurla Bus Station East","29","44 Minutes","11","05:50","22:50","06:25","23:35"
"361","Mahul Village to Kurla Bus Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-361","Mahul Village","Kurla Bus Station East","21","43 Minutes","7.3","05:00","00:55","05:00","00:20"
"362","Dr Ambedkar Garden to Kurla Bus Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-362","Dr Ambedkar Garden","Kurla Bus Station East","20","28 Minutes","6.5","05:20","23:30","05:45","00:00"
